날짜,시간,10
20200101,0,83247
20200101,1,89309
20200101,2,66611
20200101,3,53290
20200101,4,52095
20200101,5,62591
20200101,6,72799
20200101,7,98367
20200101,8,138272
20200101,9,204720
20200101,10,285893
20200101,11,324836
20200101,12,320617
20200101,13,331264
20200101,14,359475
20200101,15,384305
20200101,16,387721
20200101,17,354546
20200101,18,299045
20200101,19,272186
20200101,20,256661
20200101,21,230300
20200101,22,170933
20200101,23,107623
20200102,0,62778
20200102,1,40492
20200102,2,32815
20200102,3,36717
20200102,4,64090
20200102,5,142571
20200102,6,248187
20200102,7,321245
20200102,8,302631
20200102,9,282018
20200102,10,307976
20200102,11,324038
20200102,12,321212
20200102,13,331174
20200102,14,337396
20200102,15,340639
20200102,16,338451
20200102,17,333273
20200102,18,298945
20200102,19,241560
20200102,20,217665
20200102,21,194461
20200102,22,157652
20200102,23,112308
20200103,0,82799
20200103,1,59306
20200103,2,48045
20200103,3,49712
20200103,4,67423
20200103,5,115647
20200103,6,194381
20200103,7,280641
20200103,8,299510
20200103,9,300402
20200103,10,320228
20200103,11,332667
20200103,12,333576
20200103,13,340362
20200103,14,366144
20200103,15,386427
20200103,16,400061
20200103,17,421336
20200103,18,407648
20200103,19,345687
20200103,20,306051
20200103,21,268332
20200103,22,208612
20200103,23,144902
20200104,0,97966
20200104,1,69127
20200104,2,52807
20200104,3,47297
20200104,4,56987
20200104,5,90089
20200104,6,144122
20200104,7,199788
20200104,8,268007
20200104,9,338748
20200104,10,385538
20200104,11,387355
20200104,12,356511
20200104,13,363416
20200104,14,388014
20200104,15,399648
20200104,16,401181
20200104,17,378500
20200104,18,321310
20200104,19,259903
20200104,20,232601
20200104,21,210189
20200104,22,163773
20200104,23,113008
20200105,0,71491
20200105,1,47490
20200105,2,32479
20200105,3,26481
20200105,4,27540
20200105,5,34262
20200105,6,69992
20200105,7,107845
20200105,8,157837
20200105,9,225944
20200105,10,293550
20200105,11,325889
20200105,12,325776
20200105,13,344459
20200105,14,384079
20200105,15,404593
20200105,16,412639
20200105,17,382811
20200105,18,334494
20200105,19,296820
20200105,20,278469
20200105,21,262718
20200105,22,201091
20200105,23,131401
20200106,0,78735
20200106,1,51570
20200106,2,40050
20200106,3,42615
20200106,4,72065
20200106,5,160194
20200106,6,281763
20200106,7,342426
20200106,8,324735
20200106,9,301869
20200106,10,320709
20200106,11,321756
20200106,12,305470
20200106,13,310225
20200106,14,312814
20200106,15,321922
20200106,16,321846
20200106,17,324081
20200106,18,296784
20200106,19,235546
20200106,20,210770
20200106,21,184579
20200106,22,149213
20200106,23,109713
20200107,0,79392
20200107,1,55685
20200107,2,44636
20200107,3,45419
20200107,4,56972
20200107,5,93447
20200107,6,171618
20200107,7,264769
20200107,8,287526
20200107,9,275884
20200107,10,278635
20200107,11,268676
20200107,12,282590
20200107,13,298843
20200107,14,310272
20200107,15,312283
20200107,16,320667
20200107,17,311848
20200107,18,291672
20200107,19,234126
20200107,20,193417
20200107,21,178524
20200107,22,144937
20200107,23,109482
20200108,0,76476
20200108,1,55529
20200108,2,44368
20200108,3,44271
20200108,4,58938
20200108,5,99831
20200108,6,178747
20200108,7,293117
20200108,8,303530
20200108,9,300989
20200108,10,316233
20200108,11,319801
20200108,12,310324
20200108,13,320176
20200108,14,326347
20200108,15,352508
20200108,16,361507
20200108,17,353063
20200108,18,313991
20200108,19,252862
20200108,20,216526
20200108,21,195100
20200108,22,163267
20200108,23,119917
20200109,0,85400
20200109,1,62119
20200109,2,48952
20200109,3,51537
20200109,4,68192
20200109,5,121927
20200109,6,212732
20200109,7,310369
20200109,8,337781
20200109,9,340532
20200109,10,331328
20200109,11,334324
20200109,12,329683
20200109,13,336410
20200109,14,357612
20200109,15,355231
20200109,16,374556
20200109,17,379997
20200109,18,333143
20200109,19,269262
20200109,20,239292
20200109,21,211268
20200109,22,154358
20200109,23,124997
20200110,0,87880
20200110,1,63484
20200110,2,50226
20200110,3,51796
20200110,4,69432
20200110,5,114223
20200110,6,206106
20200110,7,301482
20200110,8,329924
20200110,9,337799
20200110,10,346933
20200110,11,352988
20200110,12,351011
20200110,13,373930
20200110,14,381683
20200110,15,403499
20200110,16,428829
20200110,17,444463
20200110,18,427831
20200110,19,370201
20200110,20,331317
20200110,21,286966
20200110,22,219289
20200110,23,154247
20200111,0,113399
20200111,1,75694
20200111,2,56122
20200111,3,50606
20200111,4,58192
20200111,5,94993
20200111,6,153701
20200111,7,225538
20200111,8,291212
20200111,9,350132
20200111,10,399522
20200111,11,403347
20200111,12,371253
20200111,13,381428
20200111,14,401492
20200111,15,418788
20200111,16,425706
20200111,17,405086
20200111,18,347134
20200111,19,282694
20200111,20,248778
20200111,21,228066
20200111,22,181447
20200111,23,123481
20200112,0,81601
20200112,1,52624
20200112,2,37084
20200112,3,28862
20200112,4,29909
20200112,5,46505
20200112,6,80107
20200112,7,124912
20200112,8,189697
20200112,9,271575
20200112,10,343397
20200112,11,367597
20200112,12,363550
20200112,13,386975
20200112,14,421540
20200112,15,448157
20200112,16,471607
20200112,17,438078
20200112,18,378585
20200112,19,336731
20200112,20,317128
20200112,21,297730
20200112,22,227666
20200112,23,148221
20200113,0,90257
20200113,1,54192
20200113,2,44037
20200113,3,47253
20200113,4,81531
20200113,5,181714
20200113,6,310599
20200113,7,389790
20200113,8,373126
20200113,9,356902
20200113,10,377961
20200113,11,371933
20200113,12,357853
20200113,13,366356
20200113,14,371590
20200113,15,372055
20200113,16,392235
20200113,17,393977
20200113,18,349005
20200113,19,275467
20200113,20,241945
20200113,21,217081
20200113,22,176465
20200113,23,127390
20200114,0,89802
20200114,1,67210
20200114,2,54055
20200114,3,55418
20200114,4,71595
20200114,5,125896
20200114,6,225517
20200114,7,327896
20200114,8,393354
20200114,9,375529
20200114,10,312747
20200114,11,370539
20200114,12,361755
20200114,13,367599
20200114,14,383257
20200114,15,397238
20200114,16,416391
20200114,17,414138
20200114,18,364889
20200114,19,290906
20200114,20,252207
20200114,21,220641
20200114,22,177148
20200114,23,131423
20200115,0,91147
20200115,1,65482
20200115,2,53692
20200115,3,54167
20200115,4,70674
20200115,5,124671
20200115,6,218606
20200115,7,298552
20200115,8,331681
20200115,9,363834
20200115,10,374349
20200115,11,372827
20200115,12,364925
20200115,13,371555
20200115,14,378166
20200115,15,398881
20200115,16,416345
20200115,17,419552
20200115,18,370533
20200115,19,288258
20200115,20,249528
20200115,21,226804
20200115,22,187268
20200115,23,138305
20200116,0,93292
20200116,1,67399
20200116,2,53901
20200116,3,52903
20200116,4,71786
20200116,5,123877
20200116,6,220132
20200116,7,333167
20200116,8,364654
20200116,9,380285
20200116,10,343803
20200116,11,381753
20200116,12,373111
20200116,13,380481
20200116,14,388184
20200116,15,403812
20200116,16,413936
20200116,17,419229
20200116,18,366891
20200116,19,291354
20200116,20,259507
20200116,21,233000
20200116,22,185425
20200116,23,139243
20200117,0,96878
20200117,1,71039
20200117,2,55356
20200117,3,57339
20200117,4,74906
20200117,5,126405
20200117,6,215486
20200117,7,318051
20200117,8,356073
20200117,9,365388
20200117,10,386170
20200117,11,397279
20200117,12,382537
20200117,13,405584
20200117,14,430812
20200117,15,449360
20200117,16,461065
20200117,17,482804
20200117,18,461638
20200117,19,391225
20200117,20,344118
20200117,21,304394
20200117,22,239317
20200117,23,166967
20200118,0,117004
20200118,1,82881
20200118,2,63008
20200118,3,54852
20200118,4,65053
20200118,5,101681
20200118,6,163290
20200118,7,239471
20200118,8,320860
20200118,9,387609
20200118,10,421499
20200118,11,423046
20200118,12,405665
20200118,13,404383
20200118,14,423859
20200118,15,435692
20200118,16,469270
20200118,17,417471
20200118,18,358247
20200118,19,302355
20200118,20,261489
20200118,21,239387
20200118,22,186344
20200118,23,129758
20200119,0,79712
20200119,1,53913
20200119,2,37875
20200119,3,29689
20200119,4,31774
20200119,5,52624
20200119,6,87457
20200119,7,130430
20200119,8,190235
20200119,9,262687
20200119,10,323882
20200119,11,356741
20200119,12,351458
20200119,13,367471
20200119,14,400768
20200119,15,429646
20200119,16,453194
20200119,17,417802
20200119,18,342932
20200119,19,317549
20200119,20,300792
20200119,21,282341
20200119,22,221133
20200119,23,148116
20200120,0,87157
20200120,1,54914
20200120,2,43777
20200120,3,47204
20200120,4,79374
20200120,5,177105
20200120,6,312766
20200120,7,389585
